KO01	KO02	KO03	WT01	WT02	WT03
VAX1!ENSG00000148704.12	0	0	0	0	0	0
DNAJB12!ENSG00000148719.14	3477	3066	2715	2958	3139	3882
EIF4EBP2!ENSG00000148730.6	18244	14936	11795	14083	15437	16660
NPFFR1!ENSG00000148734.7	0	1	1	2	2	2
PLEKHS1!ENSG00000148735.14	1	2	0	1	0	2
TCF7L2!ENSG00000148737.15	37	19	21	20	20	21
MKI67!ENSG00000148773.12	35942	32674	30740	25549	28238	30225
CYP17A1!ENSG00000148795.5	1	1	1	2	0	1
INA!ENSG00000148798.9	224	165	132	154	228	190
FUOM!ENSG00000148803.11	32	20	23	40	40	37
LRRC27!ENSG00000148814.17	185	139	94	175	157	175
MTG1!ENSG00000148824.18	128	109	75	142	116	161
NKX6-2!ENSG00000148826.8	1	0	1	0	0	0
PAOX!ENSG00000148832.14	55	51	53	59	78	72
GSTO1!ENSG00000148834.12	1432	1142	741	1251	1448	1573
TAF5!ENSG00000148835.10	1167	921	658	993	1068	1119
PPRC1!ENSG00000148840.10	7207	6501	5966	5452	5919	7093
ITPRIP!ENSG00000148841.15	1629	1411	1186	1450	1572	1743
CNNM2!ENSG00000148842.17	386	363	338	354	365	404
PDCD11!ENSG00000148843.13	6653	5611	4053	5018	5426	5750
ADAM12!ENSG00000148848.14	0	0	1	0	0	0
RGS10!ENSG00000148908.14	2158	1775	1296	1803	2035	2218
BTBD10!ENSG00000148925.10	1646	1352	870	1111	1181	1247
ADM!ENSG00000148926.9	2167	1850	1189	1437	1534	1762
GAS2!ENSG00000148935.10	533	405	273	410	413	361
SLC5A12!ENSG00000148942.14	0	1	0	0	0	0
LIN7C!ENSG00000148943.11	2596	2035	849	2051	2313	1768
LRRC4C!ENSG00000148948.7	1	3	0	0	0	1
IMMP1L!ENSG00000148950.9	754	580	296	570	582	655
SAA4!ENSG00000148965.9	0	0	0	0	0	0
PGAP2!ENSG00000148985.19	1826	1585	1172	1452	1662	1813
TUT1!ENSG00000149016.15	1130	1021	848	665	756	972
SCGB1A1!ENSG00000149021.6	0	2	0	0	0	0
SYT8!ENSG00000149043.16	0	0	0	0	0	0
ZNF214!ENSG00000149050.9	43	44	33	31	56	43
ZNF215!ENSG00000149054.14	3031	2549	1845	2244	2388	2093
HSD17B12!ENSG00000149084.11	8853	6626	3847	10261	11929	10066
APIP!ENSG00000149089.12	2115	1615	1106	1628	1917	1816
PAMR1!ENSG00000149090.11	0	0	1	0	0	0
DGKZ!ENSG00000149091.15	4060	3644	3228	3223	3226	4319
EIF3M!ENSG00000149100.12	14057	11959	8377	10920	12366	14198
TNKS1BP1!ENSG00000149115.13	230	185	175	234	239	258
GLYAT!ENSG00000149124.10	4	5	0	2	0	0
SERPING1!ENSG00000149131.15	0	0	0	0	0	0
OR5F1!ENSG00000149133.1	0	0	0	0	0	0
SSRP1!ENSG00000149136.8	32462	28522	24229	22632	24901	30545
SLC43A1!ENSG00000149150.8	2244	1956	1587	2061	2257	2465
PTPRJ!ENSG00000149177.12	13512	11428	8830	10123	11141	10980
C11orf49!ENSG00000149179.13	1410	1170	939	1075	1185	1417
ARFGAP2!ENSG00000149182.14	5591	5043	3662	4105	4394	4982
CELF1!ENSG00000149187.17	16961	14494	11047	13255	14519	14814
C11orf73!ENSG00000149196.15	1250	1027	642	996	1049	1194
CCDC81!ENSG00000149201.9	28	14	7	8	17	9
SESN3!ENSG00000149212.11	1815	1515	1009	939	1123	823
ENDOD1!ENSG00000149218.4	742	635	408	685	812	675
CCDC82!ENSG00000149231.11	1697	1262	832	1673	1774	1589
KLHL35!ENSG00000149243.15	3	2	1	2	2	0
TENM4!ENSG00000149256.14	0	0	0	0	0	1
SERPINH1!ENSG00000149257.13	50	43	36	14	27	31
CAPN5!ENSG00000149260.14	38	31	36	40	27	44
INTS4!ENSG00000149262.16	3043	2586	1945	2047	2240	2521
PAK1!ENSG00000149269.9	1730	1612	1316	1418	1680	1848
RPS3!ENSG00000149273.14	43270	39803	35251	35652	41648	52797
ZC3H12C!ENSG00000149289.10	1499	1233	924	1520	1656	1294
TTC12!ENSG00000149292.16	850	643	491	701	705	812
NCAM1!ENSG00000149294.16	48	35	19	29	48	23
DRD2!ENSG00000149295.13	0	0	0	0	0	0
C11orf52!ENSG00000149300.9	0	0	0	0	0	0
HTR3B!ENSG00000149305.6	1	0	0	0	0	0
NPAT!ENSG00000149308.16	7890	6307	4378	5856	6607	5410
ATM!ENSG00000149311.17	11164	8111	5678	9287	10504	7472
AASDHPPT!ENSG00000149313.10	6146	4731	2657	4474	4802	4428
GLB1L2!ENSG00000149328.14	1	0	0	1	0	0
SLX4IP!ENSG00000149346.14	1314	1170	970	950	1088	1102
LAMTOR1!ENSG00000149357.9	4377	3946	3450	2908	3464	4276
P4HA3!ENSG00000149380.11	1	0	3	1	1	5
GRIK4!ENSG00000149403.11	316	320	260	269	304	327
ST14!ENSG00000149418.10	14552	13452	11880	8565	9980	10820
HYOU1!ENSG00000149428.18	43879	39951	33974	32974	37905	41543
GGTLC1!ENSG00000149435.12	0	0	0	0	0	0
ADAM33!ENSG00000149451.17	0	0	0	0	0	0
SLC22A8!ENSG00000149452.15	0	0	0	0	0	0
CSRP2BP!ENSG00000149474.13	1362	1083	1017	982	1137	1304
TKFC!ENSG00000149476.14	3048	2840	2235	2309	2664	2936
MTA2!ENSG00000149480.6	21724	19393	15755	14027	15444	18882
TMEM138!ENSG00000149483.11	1733	1551	1180	1251	1416	1494
FADS1!ENSG00000149485.16	4257	3884	2850	5607	7534	5616
TMC2!ENSG00000149488.12	1	1	1	0	2	2
ROM1!ENSG00000149489.8	39	40	29	38	36	45
EML3!ENSG00000149499.11	1581	1491	1163	1505	1723	1924
INCENP!ENSG00000149503.12	8624	7671	7015	5935	6469	7416
ZP1!ENSG00000149506.10	7	4	0	2	1	2
OOSP2!ENSG00000149507.6	0	0	0	0	0	0
MS4A3!ENSG00000149516.13	0	0	0	0	0	0
PLCH2!ENSG00000149527.17	22	12	18	13	17	23
CPSF7!ENSG00000149532.15	15147	14016	12692	10498	11143	13213
MS4A2!ENSG00000149534.8	0	0	0	0	0	0
B3GAT3!ENSG00000149541.9	1603	1499	1105	1211	1345	1593
EI24!ENSG00000149547.14	5099	4252	3185	3559	3977	4419
CCDC15!ENSG00000149548.14	252	198	161	200	164	181
CHEK1!ENSG00000149554.12	3112	2413	1797	2134	2297	2355
FEZ1!ENSG00000149557.12	6	2	4	3	2	4
ESAM!ENSG00000149564.11	24	12	30	35	40	34
KIRREL3!ENSG00000149571.10	0	0	0	0	1	0
MPZL2!ENSG00000149573.8	142	143	67	129	147	152
SCN2B!ENSG00000149575.5	0	1	1	0	0	1
SIDT2!ENSG00000149577.15	3561	3309	2735	2653	2893	3319
TMEM25!ENSG00000149582.15	805	696	577	700	792	837
TAGLN!ENSG00000149591.16	283	282	233	309	287	311
JPH2!ENSG00000149596.6	0	0	1	0	0	0
DUSP15!ENSG00000149599.15	0	1	1	0	1	2
COMMD7!ENSG00000149600.11	2340	2135	1811	1930	2085	2454
C20orf144!ENSG00000149609.5	33	22	25	19	24	23
KIAA1755!ENSG00000149633.11	0	0	0	0	0	0
SPATA25!ENSG00000149634.4	26	31	15	29	30	27
OCSTAMP!ENSG00000149635.2	0	0	0	0	0	0
DSN1!ENSG00000149636.15	2418	1907	1237	1930	2082	2161
SOGA1!ENSG00000149639.14	6257	5348	5295	5283	5792	6255
CNBD2!ENSG00000149646.12	9	3	7	3	3	2
SPINT4!ENSG00000149651.3	0	0	0	0	0	0
CDH22!ENSG00000149654.9	0	0	0	0	1	1
LSM14B!ENSG00000149657.19	2012	1759	1282	1923	1883	2186
YTHDF1!ENSG00000149658.17	6191	5381	4479	4623	5155	5501
CABLES2!ENSG00000149679.11	2536	2271	2017	1693	2026	2233
ORAOV1!ENSG00000149716.12	752	651	495	610	675	764
GPHA2!ENSG00000149735.6	0	0	0	0	0	0
SLC22A9!ENSG00000149742.9	0	0	1	0	0	0
TRPT1!ENSG00000149743.13	766	757	559	591	620	757
NUDT22!ENSG00000149761.8	851	761	610	687	758	895
FERMT3!ENSG00000149781.12	2976	2651	2279	2415	2796	3227
PLCB3!ENSG00000149782.11	988	879	692	971	1099	1269
MRPL49!ENSG00000149792.8	6245	5968	5032	4891	5714	6408
CDC42EP2!ENSG00000149798.4	252	277	235	224	264	310
FAU!ENSG00000149806.10	12539	10202	7850	9885	10992	12638
TM7SF2!ENSG00000149809.14	984	968	703	1269	1568	1667
VPS51!ENSG00000149823.7	6307	5869	4972	4537	5040	6361
TBX6!ENSG00000149922.10	39	34	37	32	32	41
PPP4C!ENSG00000149923.13	6391	5999	4984	5221	5661	7270
ALDOA!ENSG00000149925.16	68468	60580	52962	50072	57504	70135
FAM57B!ENSG00000149926.13	5	4	2	8	10	12
DOC2A!ENSG00000149927.17	19	23	17	68	96	60
HIRIP3!ENSG00000149929.15	1868	1617	1316	1233	1278	1617
TAOK2!ENSG00000149930.17	5175	4845	4010	3801	4085	4793
TMEM219!ENSG00000149932.16	1332	1137	977	1065	1121	1425
HMGA2!ENSG00000149948.13	1	0	0	0	0	0
MMP3!ENSG00000149968.11	0	0	0	0	0	0
CNKSR2!ENSG00000149970.14	465	435	321	329	372	344
CNTN5!ENSG00000149972.10	1534	1337	850	815	836	747
KLRF1!ENSG00000150045.11	8	5	1	6	9	5
CLEC1A!ENSG00000150048.10	10	8	2	11	4	7
MKX!ENSG00000150051.13	1	2	4	1	2	3
MPP7!ENSG00000150054.18	159	141	97	154	176	140
CCDC7!ENSG00000150076.22	11	12	8	10	9	8
ITGB1!ENSG00000150093.18	5494	4205	3005	4913	5517	5187
FXYD4!ENSG00000150201.14	0	1	1	0	0	1
TRIM48!ENSG00000150244.11	0	0	0	0	0	0
OR8K1!ENSG00000150261.3	0	0	0	0	0	0
OR5M9!ENSG00000150269.1	0	0	0	0	0	0
PCDH15!ENSG00000150275.17	0	0	0	0	0	0
CTF1!ENSG00000150281.6	11	16	14	21	15	22
CWC15!ENSG00000150316.11	4800	3752	2983	3514	3866	4392
FCGR1A!ENSG00000150337.13	0	0	0	0	0	0
ARID5B!ENSG00000150347.14	2155	2099	1784	1521	1801	1659
KLHL1!ENSG00000150361.11	0	0	0	0	0	0
CDH8!ENSG00000150394.13	0	0	0	0	0	0
DCUN1D2!ENSG00000150401.14	1406	1273	885	1107	1202	1198
TMCO3!ENSG00000150403.17	1683	1450	887	1389	1570	1543
TMEM218!ENSG00000150433.9	424	328	265	397	374	436
TIRAP!ENSG00000150455.13	398	340	354	237	279	270
N6AMT2!ENSG00000150456.10	634	450	388	429	489	558
LATS2!ENSG00000150457.8	12	10	7	16	10	14
SAP18!ENSG00000150459.12	8638	6921	4831	6170	6690	8023
ADGRL3!ENSG00000150471.15	0	0	0	1	0	0
KIAA1328!ENSG00000150477.14	380	333	253	322	320	338
FAM124A!ENSG00000150510.15	6	10	2	9	6	12
MIA2!ENSG00000150526.11	0	0	0	0	0	0
CTAGE5!ENSG00000150527.16	111	84	61	89	92	85
HNMT!ENSG00000150540.13	0	0	0	0	1	0
LYPD1!ENSG00000150551.10	0	0	0	0	0	0
LYPD6B!ENSG00000150556.16	571	511	390	609	680	865
PDCD4!ENSG00000150593.15	4236	3205	2130	2745	3158	2699
ADRA2A!ENSG00000150594.6	1	0	0	0	1	0
GPM6A!ENSG00000150625.16	2447	1974	935	1682	2020	1635
WDR17!ENSG00000150627.15	542	405	227	376	505	350
SPATA4!ENSG00000150628.6	12	18	9	5	15	8
VEGFC!ENSG00000150630.3	0	0	0	1	0	0
CCDC102B!ENSG00000150636.15	14	13	5	7	18	18
CD226!ENSG00000150637.8	24	15	15	17	27	16
CNDP1!ENSG00000150656.14	2	0	0	2	2	0
FSIP1!ENSG00000150667.6	56	27	28	37	33	33
DLG2!ENSG00000150672.16	336	263	214	176	185	225
CCDC83!ENSG00000150676.12	1	0	0	0	0	0
RGS18!ENSG00000150681.9	114	59	66	142	153	135
PRSS23!ENSG00000150687.11	0	0	0	0	2	1
MTMR12!ENSG00000150712.10	6323	5161	3879	6651	7353	7421
PPP1R1C!ENSG00000150722.10	125	110	87	69	78	89
C11orf53!ENSG00000150750.6	9	9	3	9	4	6
CCT5!ENSG00000150753.11	16653	13089	9503	12512	13626	15584
FAM173B!ENSG00000150756.13	612	421	220	487	516	504
DOCK1!ENSG00000150760.12	1	0	0	0	0	0
DIXDC1!ENSG00000150764.13	1253	910	650	1153	1348	1192
DLAT!ENSG00000150768.15	40396	33450	24618	31139	34677	33364
PIH1D2!ENSG00000150773.10	308	252	164	172	221	285
C11orf57!ENSG00000150776.17	13841	11714	9132	9757	10984	11497
TIMM8B!ENSG00000150779.11	5120	4117	2959	3932	4109	4605
IL18!ENSG00000150782.11	325	276	194	380	436	479
TEX12!ENSG00000150783.9	7	8	2	8	6	6
PTS!ENSG00000150787.7	2486	1746	1106	2196	2214	2089
PIP4K2A!ENSG00000150867.13	5592	4684	3233	3915	4565	4548
C2orf50!ENSG00000150873.11	7	2	1	1	1	2
FREM2!ENSG00000150893.10	0	0	0	0	0	0
FOXO1!ENSG00000150907.6	5370	4473	3677	4578	5217	5324
CRIM1!ENSG00000150938.9	11	6	4	6	3	9
SEC24D!ENSG00000150961.14	8306	6932	5606	5883	6724	6461
ABCB9!ENSG00000150967.17	342	359	233	258	330	304
RILPL2!ENSG00000150977.10	5026	4531	3802	3944	4341	5127
DHX37!ENSG00000150990.7	6584	5755	4482	4892	5456	6657
UBC!ENSG00000150991.14	19160	15995	11774	13902	15075	16326
ITPR1!ENSG00000150995.18	1508	1171	907	1385	1637	1378
TKTL2!ENSG00000151005.4	4	0	0	0	0	0
PRSS53!ENSG00000151006.7	82	63	40	69	55	57
SLC7A11!ENSG00000151012.13	2704	2023	1160	2295	2397	1872
NOCT!ENSG00000151014.5	1214	1151	911	994	1134	1158
ENKUR!ENSG00000151023.16	0	2	0	0	2	0
GPR158!ENSG00000151025.9	0	0	1	0	0	0
LYZL2!ENSG00000151033.8	0	0	0	0	0	0
CACNA2D4!ENSG00000151062.14	52	44	45	58	52	61
DCP1B!ENSG00000151065.13	1292	1231	1196	821	866	1122
CACNA1C!ENSG00000151067.20	0	1	0	0	1	0
KCNA6!ENSG00000151079.7	0	0	0	0	0	0
THRB!ENSG00000151090.17	1	0	2	1	0	1
NGLY1!ENSG00000151092.16	7243	6005	4387	5707	6288	6217
OXSM!ENSG00000151093.7	649	521	422	400	454	477
UEVLD!ENSG00000151116.16	1084	949	569	837	873	818
TMEM86A!ENSG00000151117.8	57	39	34	39	36	28
C12orf45!ENSG00000151131.9	869	864	683	703	731	921
TMEM263!ENSG00000151135.9	2906	2133	1267	2399	2670	2388
BTBD11!ENSG00000151136.14	0	0	0	0	1	1
UBE3B!ENSG00000151148.13	2712	2236	1639	1882	1982	2182
ANK3!ENSG00000151150.20	137	117	110	111	156	143
IPMK!ENSG00000151151.5	1605	1165	738	1658	1686	1345
RAD9B!ENSG00000151164.18	80	59	40	100	90	90
PLBD2!ENSG00000151176.7	1987	1991	2279	1581	1783	2118
DLG5!ENSG00000151208.16	2	4	7	4	0	4
MAT1A!ENSG00000151224.12	1	1	1	0	0	1
SLC2A13!ENSG00000151229.12	917	625	384	595	678	505
GXYLT1!ENSG00000151233.10	2728	1905	1116	1830	2068	1636
TWF1!ENSG00000151239.13	1237	895	498	848	882	688
DIP2C!ENSG00000151240.16	91	59	43	35	48	36
EIF4E!ENSG00000151247.12	1890	1438	668	1448	1718	1650
MAGI1!ENSG00000151276.23	157	150	113	97	106	133
TEX30!ENSG00000151287.16	1286	962	479	1125	1113	1014
CSNK1G3!ENSG00000151292.17	2230	1774	1208	1677	1879	1649
SRFBP1!ENSG00000151304.5	1312	941	655	1106	1138	1122
AKAP6!ENSG00000151320.10	46	33	15	39	34	29
NPAS3!ENSG00000151322.18	9	7	12	8	11	13
FAM177A1!ENSG00000151327.12	765	544	373	672	696	813
MBIP!ENSG00000151332.18	1338	1199	922	1153	1317	1443
MIPOL1!ENSG00000151338.18	6	9	1	4	4	4
EXT2!ENSG00000151348.13	1520	1083	717	1182	1348	1221
TMEM18!ENSG00000151353.14	965	818	625	721	822	816
ALLC!ENSG00000151360.9	0	0	0	0	0	0
KCTD14!ENSG00000151364.16	7	4	0	2	5	1
THRSP!ENSG00000151365.2	6	2	4	1	5	2
NDUFC2!ENSG00000151366.12	1045	772	355	811	934	861
ME3!ENSG00000151376.16	0	0	0	0	0	0
MSGN1!ENSG00000151379.3	0	0	0	0	0	0
ADAMTS12!ENSG00000151388.10	0	1	1	1	0	0
NUBPL!ENSG00000151413.16	458	400	264	353	385	429
NEK7!ENSG00000151414.14	5201	3653	1862	5068	5348	4504
ATP6V1G3!ENSG00000151418.11	6	6	5	1	3	8
FER!ENSG00000151422.12	2366	1941	1259	1414	1647	1261
VIPAS39!ENSG00000151445.15	1036	918	703	877	859	983
ANKRD50!ENSG00000151458.11	608	431	311	669	660	595
UPF2!ENSG00000151461.19	7957	6390	4802	6218	6938	7550
CDC123!ENSG00000151465.13	12113	10478	7741	9134	10409	12108
SCLT1!ENSG00000151466.11	1568	1130	795	1121	1222	1153
CCDC3!ENSG00000151468.10	5	2	0	2	3	0
C4orf33!ENSG00000151470.12	523	385	299	394	468	358
FRMD4A!ENSG00000151474.19	27	49	26	35	23	39
SLC25A31!ENSG00000151475.5	1	0	1	0	0	0
PTPRO!ENSG00000151490.13	5	1	4	13	6	3
EPS8!ENSG00000151491.12	1020	880	643	642	821	798
ACAD8!ENSG00000151498.11	453	389	278	396	431	387
THYN1!ENSG00000151500.14	837	757	650	620	693	825
VPS26B!ENSG00000151502.10	599	524	448	388	493	531
NCAPD3!ENSG00000151503.12	4832	3892	2874	3346	3554	3734
VTI1A!ENSG00000151532.13	1695	1355	1017	1354	1400	1419
QDPR!ENSG00000151552.11	1730	1528	1009	1178	1319	1516
FAM160B1!ENSG00000151553.14	736	504	275	659	674	666
ANO4!ENSG00000151572.16	0	0	0	0	0	0
TEX9!ENSG00000151575.14	4067	3103	2099	2980	3360	2840
QTRTD1!ENSG00000151576.10	4387	3439	2443	3270	3651	3630
DRD3!ENSG00000151577.12	0	0	0	0	0	0
MMAA!ENSG00000151611.13	308	243	147	241	271	268
ZNF827!ENSG00000151612.15	2462	2208	1943	1807	2131	2099
POU4F2!ENSG00000151615.3	1	0	1	0	0	0
EDNRA!ENSG00000151617.15	0	0	0	0	0	0
NR3C2!ENSG00000151623.14	123	108	102	116	149	112
AKR1C2!ENSG00000151632.16	0	0	0	0	0	0
DPYSL4!ENSG00000151640.12	3	1	4	0	2	0
VENTX!ENSG00000151650.7	2	0	0	0	0	0
ADAM8!ENSG00000151651.15	529	489	393	507	610	596
ITIH2!ENSG00000151655.17	15	10	5	6	4	3
KIN!ENSG00000151657.11	1073	908	678	817	836	1018
PIGF!ENSG00000151665.12	379	277	137	242	243	236
ANKAR!ENSG00000151687.14	127	120	85	134	123	106
INPP1!ENSG00000151689.12	206	176	118	151	169	170
MFSD6!ENSG00000151690.14	1787	1482	1231	1555	1890	1811
RNF144A!ENSG00000151692.14	2	0	1	1	3	3
ASAP2!ENSG00000151693.9	750	663	516	498	626	581
ADAM17!ENSG00000151694.12	1799	1457	1030	1969	2218	1938
FLI1!ENSG00000151702.16	2476	2359	2281	1552	1945	1846
KCNJ1!ENSG00000151704.15	7	7	2	3	3	4
TMEM45B!ENSG00000151715.7	8	8	1	4	4	2
WWC2!ENSG00000151718.15	3	0	0	0	0	0
CENPU!ENSG00000151725.11	4961	3861	2540	3753	4068	3938
ACSL1!ENSG00000151726.13	4728	3864	2626	3961	4790	3879
SLC25A4!ENSG00000151729.10	5173	4520	3699	3692	4055	5106
AMN1!ENSG00000151743.10	104	72	50	93	85	106
BICD1!ENSG00000151746.13	5022	4032	2898	3499	3876	3648
SAV1!ENSG00000151748.14	873	664	437	733	838	812
CCDC122!ENSG00000151773.12	363	291	182	287	347	315
SERP2!ENSG00000151778.10	0	0	0	1	2	0
NBAS!ENSG00000151779.12	3848	2986	2185	2909	3387	2985
ZNF385D!ENSG00000151789.10	0	0	0	0	0	0
TDO2!ENSG00000151790.8	0	0	0	0	0	0
GUF1!ENSG00000151806.13	3120	2779	2012	2411	2686	2462
SLC35F4!ENSG00000151812.14	0	0	0	0	2	0
GABRA2!ENSG00000151834.15	0	0	0	0	0	0
SACS!ENSG00000151835.13	4145	3140	2288	3233	3677	3198
CCDC175!ENSG00000151838.11	1	1	0	0	4	4
PABPC3!ENSG00000151846.8	137	113	92	89	109	117
CENPJ!ENSG00000151849.14	1675	1440	939	1437	1522	1486
FBXO4!ENSG00000151876.12	362	303	196	369	398	378
C5orf28!ENSG00000151881.14	369	264	153	371	357	328
CCL28!ENSG00000151882.11	534	493	411	468	534	537
PARP8!ENSG00000151883.16	1829	1463	1063	1544	1722	1727
GFRA1!ENSG00000151892.14	0	0	0	0	0	0
CACUL1!ENSG00000151893.14	4022	3187	2351	2888	3137	3061
DST!ENSG00000151914.18	4050	3233	2730	2417	2834	2375
BEND6!ENSG00000151917.17	80	51	44	51	57	56
TIAL1!ENSG00000151923.17	6123	5062	3661	4873	5377	5752
BAG3!ENSG00000151929.9	918	719	737	455	482	649
GLT1D1!ENSG00000151948.11	8	2	4	2	4	3
TMEM132D!ENSG00000151952.14	0	1	0	0	0	0
RBM46!ENSG00000151962.7	0	0	0	0	0	0
SCHIP1!ENSG00000151967.18	0	0	0	1	2	1
MCHR2!ENSG00000152034.10	0	0	0	0	0	0
KCNE4!ENSG00000152049.6	1	1	0	1	0	1
AP1S3!ENSG00000152056.16	1828	1357	700	1495	1750	1312
RABGAP1L!ENSG00000152061.22	7765	6490	4838	6088	7101	6717
CCDC74B!ENSG00000152076.18	5	1	3	1	8	6
TMEM56!ENSG00000152078.9	18	7	3	11	23	5
MZT2B!ENSG00000152082.13	629	532	369	511	523	655
TUBA3E!ENSG00000152086.8	3	0	0	0	3	0
ASTN1!ENSG00000152092.15	1	0	0	0	0	0
CFC1B!ENSG00000152093.7	0	0	0	0	0	0
FAM168B!ENSG00000152102.17	8300	6877	5384	5638	6079	6145
PTPN14!ENSG00000152104.11	18	11	12	5	3	5
MGAT5!ENSG00000152127.8	3899	3263	2497	2462	3012	2984
TMEM163!ENSG00000152128.13	9	6	6	15	15	10
GPATCH11!ENSG00000152133.14	3560	2998	2008	2665	2911	2794
HSPB8!ENSG00000152137.6	0	0	0	0	1	0
GEMIN6!ENSG00000152147.10	1142	930	674	841	931	1010
TMEM178A!ENSG00000152154.10	3	5	2	2	1	0
POU4F1!ENSG00000152192.7	289	286	194	236	257	257
RNF219!ENSG00000152193.7	1463	1230	753	1155	1307	1239
CYSLTR2!ENSG00000152207.7	1	0	0	0	0	0
GRID2!ENSG00000152208.11	0	0	0	0	0	0
ARL11!ENSG00000152213.3	185	142	108	133	152	150
RIT2!ENSG00000152214.12	0	0	0	0	0	0
SETBP1!ENSG00000152217.16	3556	3440	3089	2411	3019	2672
ARL14EP!ENSG00000152219.4	2382	1747	1006	2039	2166	2110
EPG5!ENSG00000152223.12	4121	3250	2446	2755	3137	2646
PSTPIP2!ENSG00000152229.18	9	8	3	18	18	14
ATP5A1!ENSG00000152234.15	60026	48130	30157	48857	53631	55032
HAUS1!ENSG00000152240.12	4266	3384	2271	2879	3245	3347
C18orf25!ENSG00000152242.10	6540	5454	3444	5142	5578	4714
SPC25!ENSG00000152253.8	1162	900	737	903	1085	1175
G6PC2!ENSG00000152254.10	0	0	0	0	0	0
PDK1!ENSG00000152256.13	1589	1208	878	1729	2026	1682
PTH!ENSG00000152266.6	0	0	0	0	0	1
PDE3B!ENSG00000152270.8	261	217	126	243	233	192
TCF7L1!ENSG00000152284.4	12	10	5	7	4	15
TGOLN2!ENSG00000152291.13	12136	9987	7695	8582	9582	9597
SH2D6!ENSG00000152292.16	2	3	5	4	3	6
KCNK13!ENSG00000152315.4	34	24	15	24	23	32
UHMK1!ENSG00000152332.15	14805	10831	5883	13307	14853	11772
ATG10!ENSG00000152348.15	277	196	115	239	265	243
POC5!ENSG00000152359.14	1432	1213	998	907	997	1163
SPOCK1!ENSG00000152377.13	9	7	4	11	7	17
FAM151B!ENSG00000152380.9	31	20	15	23	23	32
TADA1!ENSG00000152382.5	1859	1640	1143	1513	1619	1668
GUCY1A2!ENSG00000152402.10	44	33	21	36	53	33
CWF19L2!ENSG00000152404.15	3022	2201	1523	2473	2488	2770
JMY!ENSG00000152409.8	1948	1536	1054	1415	1649	1396
HOMER1!ENSG00000152413.14	787	618	374	697	828	704
XRCC4!ENSG00000152422.15	1105	857	549	843	922	954
BOLL!ENSG00000152430.17	21	21	18	18	31	29
ZNF547!ENSG00000152433.14	136	129	70	148	154	144
ZNF773!ENSG00000152439.12	609	462	335	452	465	543
ZNF776!ENSG00000152443.12	2087	1693	1078	1609	1688	1538
ZNF256!ENSG00000152454.3	289	241	169	272	297	302
SUV39H2!ENSG00000152455.15	3038	2303	1501	2242	2398	2254
DCLRE1C!ENSG00000152457.17	2237	1956	1382	1519	1700	1691
OLAH!ENSG00000152463.14	5	4	4	6	7	5
RPP38!ENSG00000152464.14	1122	997	976	762	791	1037
NMT2!ENSG00000152465.17	140	96	68	99	135	138
ZSCAN1!ENSG00000152467.9	0	0	0	0	0	0
ZNF837!ENSG00000152475.6	316	282	291	258	277	356
USP12!ENSG00000152484.13	6463	4865	3098	5490	5835	5833
CCDC50!ENSG00000152492.13	6998	5797	4153	4838	5431	5102
CAMK4!ENSG00000152495.10	3490	2677	1847	2358	2796	2148
TRIM36!ENSG00000152503.9	191	147	92	192	259	199
ZFP36L2!ENSG00000152518.6	6773	6276	6045	4844	5822	5913
PAN3!ENSG00000152520.13	4060	3197	2092	3356	3683	3015
PLEKHH2!ENSG00000152527.13	2	1	0	1	4	0
PFKM!ENSG00000152556.15	5716	4675	3299	5277	5516	5902
TMEM123!ENSG00000152558.14	25215	20357	14377	30062	34293	31614
GRIA4!ENSG00000152578.12	3	6	4	4	5	7
IGSF10!ENSG00000152580.8	19	9	11	12	11	13
SPEF2!ENSG00000152582.12	0	0	0	0	1	0
SPARCL1!ENSG00000152583.12	5	5	7	4	10	6
DSPP!ENSG00000152591.12	0	0	0	0	0	1
DMP1!ENSG00000152592.13	0	0	0	0	0	0
MEPE!ENSG00000152595.16	0	0	0	0	0	0
MBNL1!ENSG00000152601.17	60883	49956	33892	43560	48439	42488
CAPSL!ENSG00000152611.11	0	0	0	0	0	0
NADK2!ENSG00000152620.12	1901	1474	846	2630	2725	2401
GPD1L!ENSG00000152642.10	2188	1808	1106	1799	2133	1952
GJA1!ENSG00000152661.7	0	0	0	0	0	0
CCNO!ENSG00000152669.8	92	100	62	122	134	148
DDX4!ENSG00000152670.18	0	0	3	2	0	0
CLEC4F!ENSG00000152672.7	0	0	0	0	0	0
SLC30A6!ENSG00000152683.14	3407	2651	1836	2240	2564	2213
PELO!ENSG00000152684.10	1895	1679	1099	1427	1499	1612
RASGRP3!ENSG00000152689.17	26004	21460	15269	27730	29162	29407
SAR1B!ENSG00000152700.13	4126	3167	1820	2864	3147	2824
CATSPER3!ENSG00000152705.7	7	4	5	8	5	9
GPR180!ENSG00000152749.7	2335	1738	1102	1878	2156	1892
TCTEX1D1!ENSG00000152760.9	8	7	0	6	2	5
WDR78!ENSG00000152763.16	76	70	41	53	52	64
ANKRD22!ENSG00000152766.5	0	1	0	0	0	0
FARP1!ENSG00000152767.15	90	72	75	75	95	55
IFIT5!ENSG00000152778.8	240	218	140	279	319	318
SLC16A12!ENSG00000152779.13	0	0	0	1	0	0
PANK1!ENSG00000152782.16	421	351	192	410	422	429
PRDM8!ENSG00000152784.15	1	0	1	1	0	0
